일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
2018-01-11 7:00,-10.8,242.5,0.7,0,84.1
2018-01-11 8:00,-11.6,0,0.2,0,85.6
2018-01-11 9:00,-10.8,0,0.2,0,81.8
2018-01-11 10:00,-7.5,0,0.4,0,68.3
2018-01-11 11:00,-6.5,295.5,1,0,60.6
2018-01-11 12:00,-5.9,301.3,1.8,0,55.3
2018-01-11 13:00,-5.6,300,2.3,0,55.9
2018-01-11 14:00,-6.1,277.8,1.8,0,57.4
2018-01-11 15:00,-5.8,288,2.2,0,60.1
2018-01-11 16:00,-6.4,320.8,1.9,0,65.8
2018-01-11 17:00,-6.6,300.9,2.3,0,59.3
2018-01-11 18:00,-7.3,304.7,2.2,0,58.1
2018-01-11 19:00,-7.9,292.3,1.9,0,58
2018-01-11 20:00,-8.1,261.5,1.6,0,60.2
2018-01-11 21:00,-8.4,263.8,2.1,0,64
2018-01-11 22:00,-8.6,283.7,1.4,0,63.7
2018-01-11 23:00,-9,261,1.7,0,62.5
2018-01-12 0:00,-9,289.9,1.9,0,62.3
2018-01-12 1:00,-9.3,335.3,1.1,0,71
2018-01-12 2:00,-10.5,343.1,1.3,0,80.3
2018-01-12 3:00,-10.9,16.4,1.1,0,78.3
2018-01-12 4:00,-11.3,320.7,1.1,0,74.5
2018-01-12 5:00,-11.6,41.1,1.7,0,78.6
2018-01-12 6:00,-11.6,47.1,1,0,71.2
2018-01-12 7:00,-11.6,326.8,1,0,69.4
2018-01-12 8:00,-12.4,0,0.4,0,74
2018-01-12 9:00,-11.6,193,0.6,0,71.2
2018-01-12 10:00,-8.9,176.4,0.6,0,59.2
2018-01-12 11:00,-7.4,98.2,0.7,0,53.8
2018-01-12 12:00,-6.4,250.7,1.6,0,43.3
2018-01-12 13:00,-6.2,289,2.5,0,41.3
2018-01-12 14:00,-5.9,354.8,2,0,45.1
2018-01-12 15:00,-4.4,266.2,1.6,0,39.4
2018-01-12 16:00,-4.4,253,2.4,0,40.1
2018-01-12 17:00,-5.3,274.2,1.3,0,39.6
2018-01-12 18:00,-5.8,278.8,0.8,0,41.3
2018-01-12 19:00,-6.7,192.6,0.9,0,48.1
2018-01-12 20:00,-6.4,197.7,1.2,0,50.3
2018-01-12 21:00,-6.7,314.9,0.7,0,56.9
2018-01-12 22:00,-6.4,0,0.3,0,59.3
2018-01-12 23:00,-6.1,316.4,0.5,0,58.9
2018-01-13 0:00,-6.4,0,0.3,0,61.3
2018-01-13 1:00,-6.1,308.7,0.5,0,61.4
2018-01-13 2:00,-6,0,0.4,0,62.9
2018-01-13 3:00,-5.8,247.2,0.5,0,64.9
2018-01-13 4:00,-5.6,197.7,0.9,0,65
2018-01-13 5:00,-5.8,155.4,0.5,0,73.8
2018-01-13 6:00,-5.5,244.5,0.6,0,78.2
2018-01-13 7:00,-5.5,313.6,0.5,0,81.3
2018-01-13 8:00,-5.3,0,0.3,0,83.4
2018-01-13 9:00,-4.3,0,0.2,0,79.8
2018-01-13 10:00,-2.8,322.2,0.5,0,73.6
